Experiment_ID,Library_ID,Delivery_target,Route_of_administration,Model_type,Cargo_type,Batch_or_individual_or_barcoded,Goal,Value_name,Sample_weight,Random_id,Lipid_name,Amine,Tail,source_row,source_dataset_id,ionizable_lipid,target_original,Route_original,Model_type_original,Read_Out_Type,Assay_type,raw_delivery_value,raw_delivery_unit,delivery_direction_handling,directional_delivery_value,normalization_group,normalization_group_n,normalization_group_mean_directional,normalization_group_std_directional,size_nm,zeta_mV,pKa,np_ratio,lipid_molar_ratio_original,helper_lipid_original,peg_lipid,smiles_original,smiles_canonical
Brain_LNPDB_v2_training,Brain_LNPDB_v2,brain,intravenous,Mouse,mRNA,Individual,max,within_assay_zscored_delivery_higher_is_better,1,1,ALC-0315,ALC-0315,,45,cao2025_systemic_administration,ALC-0315,Brain,intravenous,Mouse,,,1.3,fold vs MC3 luminescence intensity,higher_is_better,1.3,cao2025_systemic_administration__fold_vs_MC3_luminescence_intensity,5,15.14,22.48240200690309,NR,NR,NR,10.0:1,,DSPC,ALC-0159,OCCCCN(CCCCCCOC(C(CCCCCC)CCCCCCCC)=O)CCCCCCOC(C(CCCCCC)CCCCCCCC)=O,CCCCCCCCC(CCCCCC)C(=O)OCCCCCCN(CCCCO)CCCCCCOC(=O)C(CCCCCC)CCCCCCCC
Brain_LNPDB_v2_training,Brain_LNPDB_v2,brain,intravenous,Mouse,mRNA,Individual,max,within_assay_zscored_delivery_higher_is_better,1,2,MC3,MC3,,43,cao2025_systemic_administration,MC3,Brain,intravenous,Mouse,,,1.0,fold vs MC3 luminescence intensity,higher_is_better,1.0,cao2025_systemic_administration__fold_vs_MC3_luminescence_intensity,5,15.14,22.48240200690309,NR,NR,NR,10.0:1,,DSPC,DMG-PEG2k,O=C(O[13CH]([13CH2]CCCCCCC/C=C\C/C=C\CCCCC)[13CH2]CCCCCCC/C=C\C/C=C\CCCCC)CCCN(C)C,CCCCC/C=C\C/C=C\CCCCCCC[13CH2][13CH]([13CH2]CCCCCCC/C=C\C/C=C\CCCCC)OC(=O)CCCN(C)C
Brain_LNPDB_v2_training,Brain_LNPDB_v2,brain,intravenous,Mouse,mRNA,Individual,max,within_assay_zscored_delivery_higher_is_better,1,3,OS4,OS4,,41,cao2025_systemic_administration,OS4,Brain,intravenous,Mouse,,,13.3,fold vs MC3 luminescence intensity,higher_is_better,13.3,cao2025_systemic_administration__fold_vs_MC3_luminescence_intensity,5,15.14,22.48240200690309,110,-7,NR,10.0:1,,DOPE,DMG-PEG2k,CCCCCC(CC)OC(=O)CCCCCCCCN(CCCCCCCCC(=O)OC(CC)CCCCC)CCCCCC(=O)NC1CCN(C2=CC=CC(Cl)=N2)CC1,CCCCCC(CC)OC(=O)CCCCCCCCN(CCCCCCCCC(=O)OC(CC)CCCCC)CCCCCC(=O)NC1CCN(c2cccc(Cl)n2)CC1
Brain_LNPDB_v2_training,Brain_LNPDB_v2,brain,intravenous,Mouse,mRNA,Individual,max,within_assay_zscored_delivery_higher_is_better,1,4,OS4T,OS4T,,42,cao2025_systemic_administration,OS4T,Brain,intravenous,Mouse,,,59.1,fold vs MC3 luminescence intensity,higher_is_better,59.1,cao2025_systemic_administration__fold_vs_MC3_luminescence_intensity,5,15.14,22.48240200690309,125,16,NR,10.0:1,,DOPE,DSPE-PEG2k-Mal,CCCCCC(CC)OC(=O)CCCCCCCCN(CCCCCCCCC(=O)OC(CC)CCCCC)CCCCCC(=O)NC1CCN(C2=CC=CC(Cl)=N2)CC1,CCCCCC(CC)OC(=O)CCCCCCCCN(CCCCCCCCC(=O)OC(CC)CCCCC)CCCCCC(=O)NC1CCN(c2cccc(Cl)n2)CC1
Brain_LNPDB_v2_training,Brain_LNPDB_v2,brain,intravenous,Mouse,mRNA,Individual,max,within_assay_zscored_delivery_higher_is_better,1,5,SM-102,SM-102,,44,cao2025_systemic_administration,SM-102,Brain,intravenous,Mouse,,,1.0,fold vs MC3 luminescence intensity,higher_is_better,1.0,cao2025_systemic_administration__fold_vs_MC3_luminescence_intensity,5,15.14,22.48240200690309,NR,NR,NR,10.0:1,,DSPC,DMG-PEG2k,O=C(OC(CCCCCCCC)CCCCCCCC)CCCCCCCN(CCO)CCCCCC(OCCCCCCCCCCC)=O,CCCCCCCCCCCOC(=O)CCCCCN(CCO)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC
Brain_LNPDB_v2_training,Brain_LNPDB_v2,brain,intravenous,Mouse,mRNA,Individual,max,within_assay_zscored_delivery_higher_is_better,1,6,OS4B,OS4B,,48,cao2025_systemic_administration,OS4B,Brain,intravenous,Mouse,,,1.5,fold vs OS4 luminescence intensity,higher_is_better,1.5,cao2025_systemic_administration__fold_vs_OS4_luminescence_intensity,6,3.5833333333333335,1.693533452741798,200,21,NR,10.0:1,,DOPE,DSPE-PEG2k-Mal,CCCCCC(CC)OC(=O)CCCCCCCCN(CCCCCCCCC(=O)OC(CC)CCCCC)CCCCCC(=O)NC1CCN(C2=CC=CC(Cl)=N2)CC1,CCCCCC(CC)OC(=O)CCCCCCCCN(CCCCCCCCC(=O)OC(CC)CCCCC)CCCCCC(=O)NC1CCN(c2cccc(Cl)n2)CC1
Brain_LNPDB_v2_training,Brain_LNPDB_v2,brain,intravenous,Mouse,mRNA,Individual,max,within_assay_zscored_delivery_higher_is_better,1,7,OS4C,OS4C,,49,cao2025_systemic_administration,OS4C,Brain,intravenous,Mouse,,,2.5,fold vs OS4 luminescence intensity,higher_is_better,2.5,cao2025_systemic_administration__fold_vs_OS4_luminescence_intensity,6,3.5833333333333335,1.693533452741798,500,14,NR,10.0:1,,DOPE,DSPE-PEG2k-Mal,CCCCCC(CC)OC(=O)CCCCCCCCN(CCCCCCCCC(=O)OC(CC)CCCCC)CCCCCC(=O)NC1CCN(C2=CC=CC(Cl)=N2)CC1,CCCCCC(CC)OC(=O)CCCCCCCCN(CCCCCCCCC(=O)OC(CC)CCCCC)CCCCCC(=O)NC1CCN(c2cccc(Cl)n2)CC1
Brain_LNPDB_v2_training,Brain_LNPDB_v2,brain,intravenous,Mouse,mRNA,Individual,max,within_assay_zscored_delivery_higher_is_better,1,8,OS4D,OS4D,,50,cao2025_systemic_administration,OS4D,Brain,intravenous,Mouse,,,2.5,fold vs OS4 luminescence intensity,higher_is_better,2.5,cao2025_systemic_administration__fold_vs_OS4_luminescence_intensity,6,3.5833333333333335,1.693533452741798,150,27,NR,10.0:1,,DOPE,DSPE-PEG2k-Mal,CCCCCC(CC)OC(=O)CCCCCCCCN(CCCCCCCCC(=O)OC(CC)CCCCC)CCCCCC(=O)NC1CCN(C2=CC=CC(Cl)=N2)CC1,CCCCCC(CC)OC(=O)CCCCCCCCN(CCCCCCCCC(=O)OC(CC)CCCCC)CCCCCC(=O)NC1CCN(c2cccc(Cl)n2)CC1
Brain_LNPDB_v2_training,Brain_LNPDB_v2,brain,intravenous,Mouse,mRNA,Individual,max,within_assay_zscored_delivery_higher_is_better,1,9,OS4H,OS4H,,51,cao2025_systemic_administration,OS4H,Brain,intravenous,Mouse,,,5.0,fold vs OS4 luminescence intensity,higher_is_better,5.0,cao2025_systemic_administration__fold_vs_OS4_luminescence_intensity,6,3.5833333333333335,1.693533452741798,300,23,NR,10.0:1,,DOPE,DSPE-PEG2k-Mal,CCCCCC(CC)OC(=O)CCCCCCCCN(CCCCCCCCC(=O)OC(CC)CCCCC)CCCCCC(=O)NC1CCN(C2=CC=CC(Cl)=N2)CC1,CCCCCC(CC)OC(=O)CCCCCCCCN(CCCCCCCCC(=O)OC(CC)CCCCC)CCCCCC(=O)NC1CCN(c2cccc(Cl)n2)CC1
Brain_LNPDB_v2_training,Brain_LNPDB_v2,brain,intravenous,Mouse,mRNA,Individual,max,within_assay_zscored_delivery_higher_is_better,1,10,OS4P,OS4P,,46,cao2025_systemic_administration,OS4P,Brain,intravenous,Mouse,,,6.5,fold vs OS4 luminescence intensity,higher_is_better,6.5,cao2025_systemic_administration__fold_vs_OS4_luminescence_intensity,6,3.5833333333333335,1.693533452741798,120,27,NR,10.0:1,,DOPE,DSPE-PEG2k-Mal,CCCCCC(CC)OC(=O)CCCCCCCCN(CCCCCCCCC(=O)OC(CC)CCCCC)CCCCCC(=O)NC1CCN(C2=CC=CC(Cl)=N2)CC1,CCCCCC(CC)OC(=O)CCCCCCCCN(CCCCCCCCC(=O)OC(CC)CCCCC)CCCCCC(=O)NC1CCN(c2cccc(Cl)n2)CC1
Brain_LNPDB_v2_training,Brain_LNPDB_v2,brain,intravenous,Mouse,mRNA,Individual,max,within_assay_zscored_delivery_higher_is_better,1,11,OS4R,OS4R,,47,cao2025_systemic_administration,OS4R,Brain,intravenous,Mouse,,,3.5,fold vs OS4 luminescence intensity,higher_is_better,3.5,cao2025_systemic_administration__fold_vs_OS4_luminescence_intensity,6,3.5833333333333335,1.693533452741798,150,25,NR,10.0:1,,DOPE,DSPE-PEG2k-Mal,CCCCCC(CC)OC(=O)CCCCCCCCN(CCCCCCCCC(=O)OC(CC)CCCCC)CCCCCC(=O)NC1CCN(C2=CC=CC(Cl)=N2)CC1,CCCCCC(CC)OC(=O)CCCCCCCCN(CCCCCCCCC(=O)OC(CC)CCCCC)CCCCCC(=O)NC1CCN(c2cccc(Cl)n2)CC1
